产品名称,注册证编号,注册人名称,批准日期 ,有效期
2,一次性使用无刃穿刺器,Covidien llc,国食药监械(进)字2014第2614672号,2014-09-28,2019-09-27
2,穿刺器 Trocar Systems,XION GmbH,国食药监械(进)字2014第2224658号,2014-09-28,2019-09-27
2,采血笔（商品名：MEDISAFE FINETOUCH PRO） 採血用穿刺器具,テルモ株式会社,国食药监械(进)字2014第1412712号,2014-05-30,2018-05-29
2,穿刺器（商品名：ENDOPATH(R) XCELTM with OPTIVIEWTM Technology） ENDOPATH XCEL with OPTIVIEW Technology Trocars,"Ethicon Endo-Surgery,LLC",国食药监械(进)字2014第2151219号,2014-03-06,2018-03-05
3,胸部穿刺器（商品名：FLEXIPATH） FLEXIPATH Flexible Surgical Trocar,"Ethicon Endo-Surgery, LLC",国食药监械(进)字2014第3540921号,2014-02-13,2018-02-12
3,一次性无刃穿刺器 Versaport V2 Bladeless Optical Trocar,Covidien llc,国食药监械(进)字2014第2150830号,2014-02-11,2018-02-10
3,腔镜下多器械通路单孔穿刺器,Covidien llc,国食药监械(进)字2013第2225603号(更),2013-12-27,2017-12-26
3,腔镜下多器械通路单孔穿刺器,Covidien llc,国食药监械(进)字2013第2225603号,2013-12-27,2017-12-26
3,腹腔镜穿刺器,,国食药监械(进)字2013第2225256号,2013-12-05,2017-12-04
3,经颈静脉肝内穿刺器械,Cook Incorporated,国食药监械(进)字2013第3153948号,2013-09-16,2017-09-15
3,腹腔镜用穿刺器（商品名：GENICON穿刺器/套管系统）,GENICON,国食药监械(进)字2013第2152942号,2013-07-31,2017-07-30
3,一次性使用无刃穿刺器,Covidien llc,国食药监械(进)字2013第2012964号,2013-07-31,2017-07-30
3,穿刺器(商品名：蛇牌),Aesculap AG,国食药监械(进)字2013第3152699号,2013-07-12,2017-07-11
3,一次性使用穿刺器械,"IMEDICOM Co.,Ltd.",国食药监械(进)字2013第2150840号,2013-03-01,2017-02-28
3,穿刺器,Covidien llc,国食药监械(进)字2013第3150727号,2013-02-22,2017-02-21
3,穿刺器,Covidien llc,国食药监械(进)字2013第3150727号(更),2013-02-22,2017-02-21
3,配液穿刺器(商品名：Mini Spike),B.Braun Melsungen AG,国食药监械(进)字2013第3150420号,2013-02-01,2017-01-31
3,微创穿刺器(商品名：腔镜套管),,国食药监械(进)字2013第3660343号,2013-01-30,2017-01-29
3,一次性穿刺器,普威國際有限公司,国食药监械(许)字2013第2150008号,2013-01-17,2017-01-16
3,穿刺器,Covidien llc,国食药监械(进)字2013第2660135号,2013-01-17,2017-01-16
3,穿刺器,Covidien llc,国食药监械(进)字2013第2660135号(更),2013-01-17,2017-01-16
3,一次性无刃穿刺器,Covidien llc,国食药监械(进)字2013第2010033号,2013-01-13,2017-01-12
3,一次性无刃穿刺器,Covidien llc,国食药监械(进)字2013第2010033号(更),2013-01-13,2017-01-12
3,一次性使用无刃穿刺器,Covidien llc,国食药监械(进)字2012第2014233号,2012-11-27,2016-11-26
4,腹腔镜用穿刺器及配件,PAJUNK GmbH Medizintechnologie,国食药监械(进)字2012第2224103号,2012-11-19,2016-11-18
4,球囊穿刺器与充气球囊,Covidien llc,国食药监械(进)字2012第2663756号,2012-11-02,2016-11-01
4,球囊穿刺器与充气球囊,Covidien llc,国食药监械(进)字2012第2663756号(更),2012-11-02,2016-11-01
4,钝型穿刺器与注射器,Covidien llc,国食药监械(进)字2012第3153343号(更),2012-09-13,2016-09-12
4,钝型穿刺器与注射器,Covidien llc,国食药监械(进)字2012第3153343号,2012-09-13,2016-09-12
4,腹腔镜用穿刺器,Richard Wolf GmbH,国食药监械(进)字2012第2222705号,2012-08-09,2016-08-08
4,穿刺器,Covidien llc,国食药监械(进)字2012第2152490号,2012-07-19,2016-07-18
4,穿刺器,Covidien llc,国食药监械(进)字2012第2152490号(更),2012-07-19,2016-07-18
4,穿刺器Lagis Trocar<型号、规格,常广股份有限公司,国食药监械(许)字2012第2220084号,2012-06-28,2016-06-27
4,一次性使用穿刺器,Covidien llc,国食药监械(进)字2012第3151764号,2012-05-11,2016-05-10
4,一次性使用穿刺器,Covidien llc,国食药监械(进)字2012第3151764号(更),2012-05-11,2016-05-10
4,动静脉穿刺器,Fresenius Medical Care AG & Co.KGaA,国食药监械(进)字2012第3151278号,2012-04-09,2016-04-08
4,穿刺器(商品名：ENDOPATH(r)XCEL),"Ethicon Endo-Surgery,LLC",国食药监械(进)字2012第3221240号,2012-03-31,2016-03-30
4,腹腔镜用穿刺器、套管和穿刺内芯,Teleflex Medical,国食药监械(进)字2012第2220954号,2012-03-29,2016-03-28
4,一次性使用无刃穿刺器,Covidien llc,国食药监械(进)字2012第2010065号,2012-01-16,2016-01-15
4,四通道单孔腹腔镜手术穿刺器(商品名：QuadPort四通道单孔腹腔镜手术穿刺器),,国食药监械(进)字2011第2663798号,2011-11-30,2015-11-29
4,腹腔镜用穿刺器(商品名：GENICON穿刺针/套管系统),GENICON,国食药监械(进)字2011第2153778号(更),2011-11-30,2015-11-29
4,穿刺器,Covidien llc,国食药监械(进)字2011第2223738号,2011-11-28,2015-11-27
4,穿刺器,Covidien llc,国食药监械(进)字2011第2223738号(更),2011-11-28,2015-11-27
4,一次性内镜用穿刺器及附件,Teleflex Medical,国食药监械(进)字2011第3663574号,2011-11-17,2015-11-16
5,穿刺器(商品名：BASX),"Ethicon Endo - Surgery, LLC",国食药监械(进)字2011第3663250号,2011-10-14,2015-10-13
5,外科穿刺器,"Ethicon Endo-Surgery,LLC",国食药监械(进)字2011第3223032号,2011-09-30,2015-09-29
5,穿刺器,Covidien llc,国食药监械(进)字2011第2153028号(更),2011-09-30,2015-09-29
5,穿刺器,Covidien llc,国食药监械(进)字2011第2153028号,2011-09-30,2015-09-29
5,胸部穿刺器(商品名：FLEXIPATH),"Ethicon Endo-Surgery,LLC",国食药监械(进)字2011第3542074号,2011-06-27,2015-06-26
5,一次性使用无刃穿刺器,"United States Surgical, a division of Tyco Healthcare Group LP",国食药监械(进)字2011第2010662号,2011-02-28,2015-02-27
5,一次性使用穿刺器,"United States Surgical, a division of Tyco Healthcare Group LP",国食药监械(进)字2010第3151112号,2010-05-07,2014-05-06
5,三通道单孔腹腔镜手术穿刺器(商品名：Triport三通道单孔腹腔镜手术穿刺器),OLYMPUS WINTER&IBE GMBH,国食药监械(进)字2010第2660994号,2010-04-22,2014-04-21
5,穿刺器,Covidien llc,国食药监械(进)字2009第3152444号(更),2009-10-29,2013-10-29
5,球囊穿刺器与充气囊,"United States Surgical, a division of Tyco Healthcare Group LP",国食药监械(进)字2009第2661489号,2009-07-16,2013-07-15
5,钝性尖端穿刺器(商品名：Autosuture Blunt Tip Trocar),"United States Surgical, a division of Tyco Healthcare Group LP",国食药监械(进)字2009第3150760号,2009-04-03,2013-04-02
5,穿刺器(商品名：蛇牌 Aesculap),AESCULAP AG,国食药监械(进)字2009第3150321号(更),2009-02-18,2013-02-18
5,穿刺器(商品名：Versaport),"United States Surgical, a division of Tyco Healthcare Group LP",国食药监械(进)字2008第3663244号,2008-11-24,2012-11-23
5,穿刺器,"United States Surgical, a division of Tyco Healthcare Group LP",国食药监械(进)字2008第3152355号,2008-08-19,2012-08-18
5,穿刺器(商品名：BLUNTPORT),"United States Surgical, a division of Tyco Healthcare Group LP",国食药监械(进)字2008第3152271号,2008-08-11,2012-08-10
5,穿刺器(商品名：Visiport),"United States Surgical, a division of Tyco Healthcare Group LP",国食药监械(进)字2008第3152272号,2008-08-11,2012-08-10
5,穿刺器(商品名：Surgispike),Covidien llc,国食药监械(进)字2008第3152273号(更),2008-08-11,2012-08-11
5,动静脉穿刺器,Fresenius Medical Care AG & Co. KGaA,国食药监械(进)字2008第3151846号,2008-07-08,2012-07-07
5,穿刺器(商品名：THORACOPORT),"United States Surgical, a division of Tyco Healthcare Group L.P",国食药监械(进)字2008第3221856号,2008-07-08,2012-07-08
5,穿刺器(商品名：BASX),"ETHICON ENDO-SURGERY, LLC",国食药监械(进)字2008第3661093号,2008-04-30,2012-04-29
6,穿刺器(商品名：ENDOPATH XCEL),"ETHICON ENDO-SURGERY, LLC",国食药监械(进)字2008第3221024号,2008-04-26,2012-04-25
6,配液穿刺器(商品名：斯派可),B. Braun Melsungen AG,国食药监械(进)字2007第3152055号,2007-12-13,2011-12-12
6,经皮穿刺器,"Enpath medical, Inc",国食药监械(进)字2007第3151129号,2007-06-06,2011-06-05
6,胸部穿刺器(商品名：FLEXIPATH ),"Ethicon Endo-Surgery, LLC.",国食药监械(进)字2007第3541041号(更),2007-05-31,2011-05-31
6,腹腔镜穿刺器,Pajunk GmbH Medizintechnologie,国食药监械(进)字2007第3220935号,2007-05-28,2011-05-27
6,穿刺器Trocar(商品名：Auto Suture Woodford Spike),"United States Surgical, a division of Tyco Healthcare Group L.P",国食药监械(进)字2007第3660376号,2007-03-06,2011-03-05
6,ENDOPATH 外科穿刺器,"Ethicon Endo-Surgery, LLC",国食药监械(进)字2006第3220926号(更),2006-05-26,2010-05-26
6,一次性安全穿刺器,台湾普威国际有限公司,国食药监械(许)字2005第2150065号,2005-09-22,2009-09-21
6,经颈静脉肝内穿刺器械,Cook Incorporated,国食药监械(进)字2005第3151497号,2005-06-02,2009-06-01
6,Visiport 穿刺器 (商品名：Visiport Trocar),"United States Surgical, a division of Tyco Healthcare Group LP",国食药监械(进)字2005第3151350号,2005-05-23,2009-05-22
6,Versaport穿刺器,"United States Surgical, a division of Tyco Healthcare Group LP",国食药监械(进)字2005第3661260号,2005-05-11,2009-05-10
6,球囊穿刺器与充气囊,"United States Surgical, a division of Tyco Healthcare Group LP",国食药监械(进)字2005第3660936号,2005-04-13,2009-04-12
6,钝性尖端穿刺器和注射器,"United States Surgical, a division of Tyco Healthcare Group LP",国食药监械(进)字2005第3150773号,2005-04-01,2009-03-31
6,BLUNTPORT穿刺器(商品名：BLUNTPORT Trocar),"United States Surgical, a division of Tyco Healthcare Group LP",国食药监械(进)字2005第3660777号,2005-04-01,2009-03-31
6,Surgispike穿刺器,"United States Surgical, a division of Tyco Healthcare Group LP",国食药监械(进)字2005第3150615号,2005-03-08,2009-03-07
6,ENDOPATH Xcel 穿刺器,"Ethicon Endo-Surgery, Inc.",国食药监械(进)字2005第3220310号,2005-02-03,2009-02-02
6,THORACOPORT穿刺器,"United States Surgical, a division of Tyco Healthcare Group L.P",国食药监械(进)字2005第3220155号,2005-01-17,2009-01-16
6,ENDOPATH微创穿刺器,"Ethicon Endo-Surgery, Inc.",国食药监械(进)字2004第3660376号,2004-03-11,2008-03-10
6,FLEXIPATH 胸部穿刺器,"Ethicon Endo-Surgery,Inc.",国食药监械(进)字2003第3540507号,2003-10-15,2007-10-14
6,迷你配液穿刺器,B. Braun Melsungen AG,国食药监械(进)字2003第3150103号,2003-07-04,2007-07-03
