产品名称,注册证编号,注册人名称,批准日期 ,有效期
1,腔镜下切割吻合器及一次性钉匣Endo GIA Ultra Universal Stapler and Reload with Tri-staple Technology,柯惠有限责任公司Covidien llc,国械注进20153020082,2019-05-16,2024-05-15
1,端端吻合器Premium Plus CEEA Autosuture Circular Stapler,柯惠有限责任公司Covidien llc,国械注进20152020237,2019-05-16,2024-05-15
1,重复性使用电动式切割吻合器iDrive Ultra Powered Stapling System,柯惠有限责任公司Covidien llc,国械注进20143015528,2019-05-16,2024-05-15
1,内镜用切割吻合器及一次性钉匣Endo GIA Autosuture Universal Stapler and Loading Unit,柯惠有限责任公司Covidien llc,国械注进20153020083,2019-05-16,2024-05-15
1,端端吻合器EEA Autosuture Circular Stapler and EEA OrVIL Autosuture Transoral Circular Stapler Anvil,柯惠有限责任公司Covidien llc,国械注进20142026031,2019-05-16,2024-05-15
1,"电动腔镜直线型切割吻合器和钉仓ECHELON FLEX™ 45mm Powered Plus Articulating Endoscopic Linear Cutters and ECHELON ENDOPATH™ Endoscopic Linear Cutter Reloads, 45mm (+ Gripping Surface Technology)","Ethicon Endo-Surgery, LLC",国械注进20193010194,2019-04-16,2024-04-15
1,闭合吻合器及一次性钉匣TA Autosuture Stapler & Loading Unit with DST Series Technology,柯惠有限责任公司Covidien llc,国械注进20153020046,2019-03-04,2024-03-03
1,痔吻合器及附件EEA Hemorrhoid and Prolapse Stapler Set with DST Series Technology,Covidien llc,国械注进20182022480,2018-10-29,2023-10-28
1,腔镜下切割吻合器预置可吸收膜钉匣Endo GIA™ Reinforced Reload with Tri-Staple™ Technology,Covidien llc,国械注进20183020333,2018-09-17,2023-09-16
1,腔镜直线型切割吻合器Echelon 60 ENDOPATH Endoscopic Linear Cutters,"Ethicon Endo-Surgery, LLC",国械注进20183651869,2018-03-30,2023-03-29
1,端端吻合器导引器DST Series EEA Introducer Device,Covidien llc,国械注进20172226550,2017-08-24,2022-08-23
1,腔镜关节头直线型切割吻合器和钉仓ECHELON FLEX Articulating Endoscopic Linear Cutters and Reloads,"Ethicon Endo-Surgery, LLC",国械注进20173656323,2017-07-24,2022-07-23
1,电动腔镜关节头直线型切割吻合器ECHELON Flex Powered Articulating Endoscopic Linear Cutters,"Ethicon Endo-Surgery, LLC",国械注进20173226240,2017-07-12,2022-07-11
1,一次性使用圆形吻合器Disposable Curved Circular Stapler,"Ethicon Endo-Surgery, LLC",国械注进20172652054,2017-06-26,2022-06-25
1,直线型吻合器和钉仓PROXIMATE Linear Stapler and Reloads,"Ethicon Endo-Surgery, LLC",国械注进20173652017,2017-06-26,2022-06-25
1,弧形切割吻合器和钉仓CONTOUR Curved Cutter Stapler and Reloads,"Ethicon Endo - Surgery, LLC",国械注进20173651705,2017-06-09,2022-06-08
1,可重复使用直线型切割吻合器和一次性钉仓 ValuTrus Reusable Linear Cutter Stapler,"Ethicon Endo-Surgery, LLC",国械注进20163654909,2016-12-06,2021-12-05
1,腔镜直线型切割吻合器和钉仓 ECHELON 45 ENDOPATH Stapler Endoscopic Linear Cutter and Reloads,"Ethicon Endo-Surgery, LLC",国械注进20163654883,2016-11-30,2021-11-29
1,电动腔镜直线型血管切割吻合器和钉仓ECHELONTM Flex Powered Vascular Stapler with Advanced Placement Tip and ENDOPATH ECHELONTM Vascular White Reload for Advanced Placement Tip,"Ethicon Endo-Surgery, LLC",国械注进20163222981,2016-10-24,2021-10-23
2,电动腔镜直线型切割吻合器和钉仓Echelon Flex Powered Plus Articulating Endoscopic Linear Cutter and Endopath Echelon Endoscopic Linear Cutter Reloads with Gripping Surface Technology,"Ethicon Endo-Surgery, LLC",国械注进20163212453,2016-07-08,2021-07-07
2,腔镜直线型切割吻合器 ENDOPATH Endoscopic Linear Cutters,"Ethicon Endo-Surgery, LLC",国械注进20163222350,2016-06-29,2021-06-28
2,腔镜下一次性切割吻合器弧形钉仓 Endo GIA Auto Suture Radial Reload with Tri-Staple Technology,Covidien llc,国械注进20153461467,2015-05-06,2020-05-05
2,旋转头切割吻合器 GIA Autosuture Universal Stapler,Covidien llc,国械注进20153661156,2015-04-03,2020-04-02
2,一次性切割吻合器及钉匣 GIA Autosuture/SGIA Autosuture Stapler and Loading Unit with DST Series Technology,Covidien llc,国械注进20152651000,2015-03-19,2020-03-18
2,切割吻合器及钉匣 Reliamax Gastrointestinal Anastomosis and Reload,Covidien llc,国械注进20153460646,2015-02-13,2020-02-12
2,内镜用切割吻合器及一次性钉匣 Multifire Endo GIA Autosuture Single use stapler & single use Loading unit,Covidien llc,国械注进20153460398,2015-01-30,2020-01-29
2,关节头直线形吻合器PROXIMATE ACCESS Articulating Linear Stapler,"Ethicon Endo - Surgery, LLC",国械注进20152540242,2015-01-23,2020-01-22
2,直线形切割吻合器和可调节钉仓 Linear Cutter 55/75mm and Selectable Cartridge/reloads,"Ethicon Endo - Surgery, LLC",国械注进20153650243,2015-01-23,2020-01-22
2,内窥镜弯型腔内吻合器ILS Endoscopic Curved Intraluminal Stapler,"Ethicon Endo - Surgery, LLC",国械注进20152650241,2015-01-23,2020-01-22
2,端端吻合器 Premium Plus CEEA Autosuture Circular Stapler,Covidien llc,国械注进20152080237,2015-01-23,2020-01-22
2,腔镜直线型切割吻合器钉仓echelon 60 ENDOPATH STAPLER Endoscopic Linear Cutter Reloads,"Ethicon Endo-Surgery, LLC",国械注进20153080094,2015-01-16,2020-01-15
2,旋转头闭合吻合器 Roticulator Autosuture Articulating Stapler,Covidien llc,国械注进20153080047,2015-01-14,2020-01-13
2,内镜用切割吻合器及一次性钉匣 Endo GIA Autosuture Universal Stapler and Loading Unit,Covidien llc,国械注进20153650083,2015-01-14,2020-01-13
2,闭合吻合器及一次性钉匣 TA Autosuture Stapler & loading Unit with DST Series Technology,Covidien llc,国械注进20153650046,2015-01-14,2020-01-13
2,腔镜下切割吻合器及一次性钉匣 Endo GIA Ultra Universal Stapler and Reload with Tri-Staple Technology,Covidien llc,国械注进20153660082,2015-01-14,2020-01-13
2,端端吻合器 EEA Autosuture Circular Stapler and EEA OrVIL Autosuture Transoral Circular Stapler Anvil,Covidien llc,国械注进20142656031,2014-12-16,2019-12-15
2,电动式切割吻合器,Covidien llc,国械注进20143545528,2014-11-28,2019-11-27
2,痔吻合器及附件 EEA Hemorrhoid and Prolapse Stapler Set with DST Series Technology,Covidien llc,国食药监械(进)字2014第2094751号,2014-09-30,2019-09-29
2,腔镜直线型切割吻合器（商品名：ECHELON 60） Echelon 60 ENDOPATH Endoscopic Linear Cutters,"Ethicon Endo - Surgery, LLC",国食药监械(进)字2014第3222458号,2014-05-20,2018-05-19
3,腔镜下一次性切割吻合器弧形钉仓 Endo GIA Auto Suture Radial Reload with Tri-Staple Technology,Covidien llc,国食药监械(进)字2014第3461408号,2014-03-18,2018-03-17
3,腔镜关节头直线型切割吻合器和钉仓（商品名：ECHELON FLEX） ECHELON FLEX Articulating Endoscopic Linear Cutters and Reloads,"Ethicon Endo - Surgery, LLC",国食药监械(进)字2014第3650887号,2014-01-28,2018-01-27
3,一次性使用圆形吻合器,"Ethicon Endo - Surgery, LLC",国食药监械(进)字2013第2655572号,2013-12-27,2017-12-26
3,端端吻合器导引器,Covidien llc,国食药监械(进)字2013第2225096号(更),2013-11-21,2017-11-20
3,端端吻合器导引器,Covidien llc,国食药监械(进)字2013第2225096号,2013-11-21,2017-11-20
3,弧形切割吻合器和钉仓(商品名：CONTOUR),"Ethicon Endo - Surgery, LLC",国食药监械(进)字2013第3654650号,2013-10-31,2017-10-30
3,直线型吻合器和钉仓(商品名：PROXIMATE),"Ethicon Endo - Surgery, LLC",国食药监械(进)字2013第3654649号,2013-10-31,2017-10-30
3,腔镜直线型切割吻合器(商品名: ENDOPATH),强生(上海)医疗器材有限公司,国食药监械(进)字2013第3223156号,2013-08-12,2017-08-11
3,电动腔镜关节头直线型切割吻合器(商品名:Powered Echelon Flex),"Ethicon Endo-Surgery, LLC",国食药监械(进)字2013第3222977号,2013-08-01,2017-07-31
3,腔镜关节头直线型切割吻合器和钉仓(商品名：ECHELON FLEX),"Ethicon Endo - Surgery, LLC",国食药监械(进)字2013第3651722号,2013-04-25,2017-04-24
3,腔镜直线型切割吻合器和钉仓(商品名：ECHELON 45),"Ethicon Endo-Surgery, LLC",国食药监械(进)字2013第3651107号,2013-03-15,2017-03-14
3,可重复使用直线型切割吻合器和一次性钉仓(商品名：安得 (ValuTrus)),"Ethicon Endo-Surgery, LLC",国食药监械(进)字2013第3650561号,2013-02-06,2017-02-05
3,闭合吻合器及一次性钉匣,Covidien llc,国食药监械(进)字2012第3653653号,2012-10-15,2016-10-14
3,切割吻合器及一次性钉匣,Covidien llc,国食药监械(进)字2012第3653654号(更),2012-10-15,2016-10-14
3,闭合吻合器及一次性钉匣,Covidien llc,国食药监械(进)字2012第3653653号(更),2012-10-15,2016-10-14
3,切割吻合器及一次性钉匣,Covidien llc,国食药监械(进)字2012第3653654号,2012-10-15,2016-10-14
3,切割吻合器及一次性钉匣,Covidien llc,国食药监械(进)字2012第2652012号(更),2012-06-06,2016-06-05
3,切割吻合器及一次性钉匣,Covidien llc,国食药监械(进)字2012第2652012号,2012-06-06,2016-06-05
3,内窥镜用吻合器,ConMed CORPORATION,国食药监械(进)字2012第3222015号,2012-06-06,2016-06-05
3,可重复使用圆形吻合器和一次性使用钉仓(商品名：安得 (ValuTrus)),"Ethicon Endo - Surgery, LLC",国食药监械(进)字2012第2081482号,2012-04-23,2016-04-22
4,腔镜直线型切割吻合器和钉仓(商品名：ENDOPATH),"Ethicon Endo - Surgery, LLC",国食药监械(进)字2012第3221228号,2012-03-31,2016-03-30
4,腹壁吻合器(商品名：Mediflex),"Mediflex,a division of Flexbar Machine Corporation",国食药监械(进)字2012第2080951号,2012-03-29,2016-03-28
4,吻合器,Covidien llc,国食药监械(进)字2012第3220550号(更),2012-03-12,2016-03-11
4,吻合器,Covidien llc,国食药监械(进)字2012第3220550号,2012-03-12,2016-03-11
4,可重复使用圆形痔吻合器及钉仓和附件套装(商品名：安得(ValuTrus)),"Ethicon Endo - Surgery, LLC",国食药监械(进)字2012第2090610号,2012-03-12,2016-03-11
4,腔镜下切割吻合器及一次性钉匣,Covidien llc,国食药监械(进)字2012第3660439号,2012-02-27,2016-02-26
4,可重复使用直线型吻合器和钉仓(商品名：安得(ValuTrus)),"Ethicon Endo - Surgery, LLC",国食药监械(进)字2012第2650071号,2012-01-16,2016-01-15
4,弯型和直型腔内吻合器(商品名：ILS),"Ethicon Endo - Surgery, LLC",国食药监械(进)字2011第2653765号,2011-11-27,2015-11-26
4,旋转头闭合吻合器,Covidien llc,国食药监械(进)字2011第3083495号,2011-11-10,2015-11-09
4,旋转头闭合吻合器,Covidien llc,国食药监械(进)字2011第3083495号(更),2011-11-10,2015-11-09
4,圆形痔吻合器(商品名：PROXIMATE),"Ethicon Endo-Surgery,LLC",国食药监械(进)字2011第2093498号,2011-11-10,2015-11-09
4,端端吻合器一次性钉匣,Covidien llc,国食药监械(进)字2011第2083373号(更),2011-10-25,2015-10-24
4,端端吻合器一次性钉匣,Covidien llc,国食药监械(进)字2011第2083373号,2011-10-25,2015-10-24
4,直线形切割吻合器和钉仓(商品名：PROXIMATE),"Ethicon Endo-Surgery, LLC",国食药监械(进)字2011第3543246号,2011-10-14,2015-10-13
4,闭合吻合器及一次性钉匣,Covidien llc,国食药监械(进)字2011第3653029号,2011-09-30,2015-09-29
4,闭合吻合器及一次性钉匣,Covidien llc,国食药监械(进)字2011第3653029号(更),2011-09-30,2015-09-29
4,内镜用切割吻合器及一次性钉匣,Covidien llc,国食药监械(进)字2011第3462994号,2011-09-28,2015-09-27
4,端端吻合器,Covidien llc,国食药监械(进)字2011第2083016号(更),2011-09-28,2015-09-27
4,一次性切割吻合器及钉匣,Covidien llc,国食药监械(进)字2011第2652990号,2011-09-28,2015-09-27
4,内镜用切割吻合器及一次性钉匣,Covidien llc,国食药监械(进)字2011第3462994号(更),2011-09-28,2015-09-27
5,腹腔镜用圆形吻合器(商品名：ENDOPATH ILS),"Ethicon Endo-Surgery, LLC.",国食药监械(进)字2011第2223014号,2011-09-28,2015-09-27
5,一次性切割吻合器及钉匣,Covidien llc,国食药监械(进)字2011第2652990号(更),2011-09-28,2015-09-27
5,端端吻合器,Covidien llc,国食药监械(进)字2011第2083016号,2011-09-28,2015-09-27
5,关节头直线形吻合器(商品名：PROXIMATE ACCESS),Ethicon Endo-Surgery，LLC,国食药监械(进)字2011第2542862号,2011-09-13,2015-09-12
5,旋转头切割吻合器,Covidien llc,国食药监械(进)字2011第3662859号(更),2011-09-13,2015-09-12
5,内窥镜弯型腔内吻合器(商品名：ILS),"Ethicon Endo - Surgery, LLC",国食药监械(进)字2011第2652895号,2011-09-13,2015-09-12
5,连发型吻合器(商品名：ENDOPATH EMS),Ethicon Endo-Surgery，LLC,国食药监械(进)字2011第2542858号,2011-09-13,2015-09-12
5,旋转头切割吻合器,Covidien llc,国食药监械(进)字2011第3662859号,2011-09-13,2015-09-12
5,直线形切割吻合器和可调节钉仓,"Ethicon Endo - Surgery, LLC",国食药监械(进)字2011第3652799号,2011-09-07,2015-09-06
5,弧形切割吻合器(商品名：CONTOUR TRANSTAR),"Ethicon Endo - Surgery, LLC",国食药监械(进)字2011第2652713号,2011-08-22,2015-08-21
5,内镜用切割吻合器及一次性钉匣,Covidien llc,国食药监械(进)字2011第3652581号,2011-08-09,2015-08-08
5,痔吻合器及附件,Covidien llc,国食药监械(进)字2011第2092360号,2011-07-20,2015-07-19
5,端端吻合器,Covidien llc,国食药监械(进)字2011第2652084号,2011-06-27,2015-06-26
5,弯型和直型管腔吻合器(商品名：PROXIMATE ILS),"Ethicon Endo-Surgery, LLC",国食药监械(进)字2011第2541631号,2011-05-11,2015-05-10
5,腔镜关节头直线型切割吻合器(商品名：ECHELON FLEX),Ethicon Endo-Surgery，LLC,国食药监械(进)字2011第3651308号,2011-04-12,2015-04-11
5,切割吻合器组织加强型钉匣,Covidien llc,国食药监械(进)字2011第3650366号(更),2011-01-30,2015-01-30
5,腔镜直线型切割吻合器(商品名：ENDOPATH(r)),"Ethicon Endo-Surgery, LLC",国食药监械(进)字2011第3220385号,2011-01-30,2015-01-29
5,腔镜直线型切割吻合器和钉仓,Ethicon Endo-Surgery，LLC,国食药监械(进)字2011第3220273号,2011-01-26,2015-01-25
5,一次性使用圆形吻合器,"Ethicon Endo-Surgery, LLC",国食药监械(进)字2010第2651621号,2010-06-07,2014-06-06
5,弧形切割吻合器和钉仓(商品名：CONTOUR),"Ethicon Endo-Surgery, LLC",国食药监械(进)字2010第3651062号,2010-05-04,2014-05-03
6,直线型吻合器和钉仓(商品名：PROXIMATE),"Ethicon Endo-Surgery, LLC",国食药监械(进)字2010第3650568号,2010-03-10,2014-03-09
6,腔镜直线切割吻合器和钉仓(商品名：ECHELON 45),"Ethicon Endo-Surgery, LLC",国食药监械(进)字2009第3651686号,2009-07-28,2013-07-27
6,切割吻合器及一次性钉匣(商品名：GIA PREMIUM),"United States Surgical, a division of Tyco Healthcare Group LP",国食药监械(进)字2009第3651632号,2009-07-27,2013-07-26
6,腔镜直线形切割吻合器和钉仓(商品名：Echelon 45),"ETHICON ENDO-SURGERY, LLC",国食药监械(进)字2009第3650910号,2009-04-08,2013-04-07
6,切割吻合器及一次性钉匣,"United States Surgical, a division of Tyco Healthcare Group LP",国食药监械(进)字2009第3650522号,2009-03-13,2013-03-12
6,直线型切割吻合器和钉仓(商品名：ValuTrus),"ETHICON ENDO-SURGERY, LLC",国食药监械(进)字2009第3650146号(更),2009-01-22,2013-01-22
6,端端吻合器及一次性钉匣(商品名：Autosuture EEA),"United States Surgical, a division of Tyco Healthcare Group LP",国食药监械(进)字2008第3082162号,2008-07-22,2012-07-21
6,端端吻合器,"United States Surgical, a division of Tyco Healthcare Group LP",国食药监械(进)字2008第2081312号,2008-05-26,2012-05-25
6,端端吻合器(商品名：Auto Suture DST EEA),"United States Surgical, a division of Tyco Healthcare Group LP",国食药监械(进)字2008第2651339号,2008-05-21,2012-05-20
6,直线形切割吻合器和钉仓(商品名：PROXIMATE),"ETHICON ENDO-SURGERY, LLC",国食药监械(进)字2008第3541110号,2008-05-05,2012-05-04
6,腔镜直线型切割吻合器和钉仓(商品名：ENDOPATH),"Ethicon Endo-Surgery, LLC",国食药监械(进)字2008第3010535号,2008-03-22,2012-03-21
6,圆形痔吻合器,"ETHICON ENDO-SURGERY, LLC",国食药监械(进)字2008第2090533号,2008-03-22,2012-03-21
6,腹腔镜用圆形吻合器(商品名：ENDOPATH ILS),"Ethicon Endo-Surgery, LLC.",国食药监械(进)字2007第2221949号(更),2007-12-06,2011-12-06
6,关节头直线形吻合器(商品名：Proximate Access),"Ethicon Endo-Surgery, LLC.",国食药监械(进)字2007第2541950号(更),2007-12-06,2011-12-06
6,连发型吻合器(商品名：ENDOPATH EMS),"Ethicon Endo-Surgery, LLC.",国食药监械(进)字2007第2541384号(更),2007-08-06,2011-08-06
6,弯型和直型管腔吻合器(商品名：PROXIMATE ILS),"Ethicon Endo-Surgery, LLC.",国食药监械(进)字2007第2541385号(更),2007-08-06,2011-08-06
6,直线形切割吻合器(商品名：PROXIMATE),"Ethicon Endo-Surgery,LLC.",国食药监械(进)字2007第2541386号(更),2007-08-06,2011-08-06
6,腔镜直线型切割吻合器和钉仓(商品名：ECHELON 60 ),Ethicon Endo-Surgery，LLC,国食药监械(进)字2007第3220045号(更),2007-01-23,2011-01-23
6,端端吻合器(EEA*),"United States Surgical,a division of Tyco Healthcare Group,LP",国食药监械(进)字2006第2651195号,2006-07-17,2010-07-16
6,CEEA 端端吻合器,"United States Surgical,a division of Tyco Healthcare Group,LP",国食药监械(进)字2006第3651025号,2006-06-08,2010-06-07
7,腔镜直线型切割吻合器和钉仓,"Ethicon Endo-Surgery, LLC.",国食药监械(进)字2006第3010265号(更),2006-02-13,2010-02-13
7,CONTOUR弧形切割吻合器和钉仓,"Ethicon Endo-Surgery,LLC.",国食药监械(进)字2005第3082715号(更),2005-09-20,2009-09-20
7,PROXIMATE直线型吻合器和钉仓,"Ethicon Endo-Surgery, LLC.",国食药监械(进)字2005第3652118号(更),2005-08-10,2009-08-10
7,端端吻合器及一次性钉匣,"United States Surgical, a division of Tyco Healthcare Group LP",国食药监械(进)字2005第3080373号,2005-02-25,2009-02-24
7,端端吻合器,"United States Surgical, a division of Tyco Healthcare Group L.P.",国食药监械(进)字2004第2651521号,2004-08-19,2008-08-18
7,内窥镜用吻合器,ConMed Corporation,国食药监械(进)字2004第2010342号,2004-03-15,2008-03-14
7,圆形痔吻合器,"Ethicon Endo-Surgery, Inc.",国食药监械(进)字2004第3080248号,2004-03-03,2008-03-02
7,Proximate ILS 弯型和直型管腔吻合器,"Ethicon Endo-Surgery, Inc.",国食药监械(进)字2003第3540626号,2003-10-31,2007-10-30
7,ENDOPATH EMS 连发型吻合器,"Ethicon Endo-Surgery, Inc.",国食药监械(进)字2003第3540506号,2003-10-15,2007-10-14
7,Proximate Access 关节头直线形吻合器,"Ethicon Endo-Surgery, Inc.",国食药监械(进)字2003第3540492号,2003-10-13,2007-10-12
7,ENDOPATH 腹腔镜用圆形吻合器,"Ethicon Endo-Surgery, Inc.",国食药监械(进)字2003第3220482号,2003-10-13,2007-10-12
