产品名称,注册证编号,注册人名称,批准日期 ,有效期
2,数字化彩色超声波诊断装置汎用超音波画像診断装置,株式会社日立制作所株式会社日立製作所,国械注进20153062704,2020-08-05,2025-08-04
2,数字化彩色超声波诊断装置汎用超音波画像診断装置,株式会社日立制作所株式会社日立製作所,国械注进20153062705,2020-07-20,2025-07-19
2,痔动脉结扎超声多普勒诊断仪A.M.I. HAL System / A.M.I. RAR System,奥地利安美医疗创新有限公司A.M.I. Agency for Medical Innovations GmbH,国械注进20162060822,2020-07-20,2025-07-19
2,经直肠高强度聚焦超声治疗仪High Intensity Focused Ultrasound System,"赛耐康医疗设备有限公司SonaCare Medical, LLC",国械注进20203010342,2020-07-08,2025-07-07
2,超声洁牙设备Ultrasonics dental descaler equipment,迈超股份公司MECTRON S.p.A,国械注进20152173526,2020-07-06,2025-07-05
2,通用超声波图像诊断装置汎用超音波画像診断装置,优奈克斯株式会社株式会社ユネクス,国械注进20163061936,2020-07-06,2025-07-05
2,超声腹腔神经丛注射针EchoTip Ultra Celiac Plexus Neurolysis Needle,库克爱尔兰有限公司Cook Ireland Limited,国械注进20153143124,2020-06-29,2025-06-28
2,彩色超声诊断系统 Diagnostic Ultrasound System and Transducers,"飞利浦超声股份有限公司 Philips Ultrasound, Inc.",国械注进20203060322,2020-06-09,2025-06-08
2,医用超声雾化器Vibrating Mesh Nebulizer,"心诚镁行动医电股份有限公司HCMED INNOVATIONS CO., LTD.",国械注许20202080008,2020-05-09,2025-05-08
2,超声诊断仪Diagnostic Ultrasound System,百胜股份有限公司ESAOTE S.p.A.,国械注进20202060249,2020-05-09,2025-05-08
2,超声外科吸引系统 Ultrasonic Surgical Aspirator,史赛克动力Stryker Instruments,国械注进20153011182,2020-04-29,2025-04-28
2,超声乳化仪Ophthalmic Surgical Equipment,欧帝康公司OPTIKON 2000 S.p.A.,国械注进20153163718,2020-04-27,2025-04-26
2,超声多普勒胎儿监护仪Fetal Monitor,"博特有限公司Bistos Co., Ltd.",国械注进20152180538,2020-04-26,2025-04-25
2,血管内超声诊断仪Intravascular Imaging and Pressure System,火山公司Volcano corporation,国械注进20203061521,2020-04-22,2025-04-21
2,彩色超声诊断系统Diagnostic Ultrasound System and Transducers,"飞利浦超声股份有限公司Philips Ultrasound, Inc.",国械注进20203060200,2020-04-17,2025-04-16
2,彩色多普勒超声诊断仪Ultrasound System,百科医疗有限公司BK Medical ApS,国械注进20203060196,2020-04-17,2025-04-16
2,一次性使用心腔内超声导管SoundStar Eco 8F Ultrasound Catheter,"伯恩森斯韦伯斯特股份有限公司Biosense Webster, Inc.",国械注进20203060199,2020-04-17,2025-04-16
3,超声图像处理软件医用画像処理ソフトウェア,佳能医疗系统株式会社キヤノンメディカルシステムズ株式会社,国械注进20202210187,2020-04-15,2025-04-14
3,超声活检针Ultrasound Needle,威尔逊-库克医学公司Wilson-Cook Medical Incorporated,国械注进20152022231,2020-04-10,2025-04-09
3,超声诊断仪,"韩国通用电气超声有限公司GE Ultrasound Korea, Ltd",国械注进20152062990,2020-03-30,2025-03-29
3,一次性使用血管内超声诊断导管OptiCross™ HD 60MHz Coronary Imaging Catheter,波士顿科学公司Boston Scientific Corporation,国械注进20203060148,2020-03-30,2025-03-29
3,眼科超声诊断仪ULTRASONIC A/B SCANNERAND PACHYMETER,日本多美公司TOMEY CORPORATION（株式会社トーメーコーポレーション）,国械注进20203160149,2020-03-30,2025-03-29
3,超声骨密度仪Ultrasonic Bone Sonometer,毕美特有限公司BeamMed Ltd.,国械注进20152070425,2020-03-16,2025-03-15
3,肝功能剪切波量化超声诊断仪FibroScan,爱科森ECHOSENS,国械注进20153071541,2020-03-06,2025-03-05
3,内镜用超声探头内視鏡用超音波プローブ,奥林巴斯医疗株式会社オリンパスメディカルシステムズ株式会社,国械注进20163061991,2020-03-02,2025-03-01
3,一次性超声探头RAR Flexi Probe,奥地利安美医疗创新有限公司A.M.I. Agency for Medical Innovations GmbH,国械注进20142065959,2020-02-26,2025-02-25
3,超声洁牙设备歯科用多目的超音波治療器,株式会社中西Nakanishi Inc.（株式会社 ナカニシ）,国械注进20202170052,2020-02-03,2025-02-02
3,一次性内窥镜超声吸引活检针,オリンパスメディカルシステムズ株式会社,国械注进20202020038,2020-01-17,2025-01-16
3,眼科A型超声测量仪Bio & Pachy Meter,日本多美公司Tomey Corporation,国械注进20143165537,2020-01-16,2025-01-15
3,一次性使用双极高频超声双输出手术器械サンダービート タイプS,奥林巴斯医疗株式会社OLYMPUS MEDICAL SYSTEM CORP.,国械注进20203010020,2020-01-14,2025-01-13
3,超声诊断仪超音波診断装置,株式会社日立制作所,国械注进20153060603,2020-01-07,2025-01-06
3,超声洁牙手机Ultrasonic scaler,卡瓦有限责任公司Kaltenbach & Voigt GmbH,国械注进20152172430,2020-01-03,2024-06-20
3,超声诊断仪Diagnostic Ultrasound System,百胜股份有限公司ESAOTE S.p.A.,国械注进20193060639,2019-12-23,2024-12-22
3,超声诊断仪범용초음파영상진단장치,三星麦迪逊有限公司삼성메디슨(주),国械注进20152061293,2019-12-23,2024-12-22
3,一次性内窥镜超声吸引活检针,奥林巴斯医疗株式会社オリンパスメディカルシステムズ株式会社,国械注进20192020637,2019-12-20,2024-12-19
3,彩色超声诊断仪Diagnostic Ultrasound System,"GE Ultrasound Korea, Ltd.",国械注进20152062182,2019-12-18,2024-12-17
3,彩色超声诊断仪Diagnostic Ultrasound System,"GE Ultrasound Korea, Ltd.",国械注进20152062178,2019-12-18,2024-12-17
4,超声高频外科集成手术设备Ultrasonic Surgical & Electrosurgical Generator,"爱惜康内镜外科器械有限责任公司Ethicon Endo-Surgery, LLC",国械注进20153010137,2019-12-04,2024-12-03
4,超声活检针及附件SharkCore Fine Needle Biopsy System,柯惠有限责任公司Covidien llc,国械注进20192140567,2019-11-28,2024-11-27
4,超声活检针及附件BNX Fine Needle Aspiration System,柯惠有限责任公司Covidien llc,国械注进20192140568,2019-11-28,2024-11-27
4,"超声高频外科集成系统超声刀头Harmonic Ace+7, 5mm Diameter Shears with Advanced Hemostasis","爱惜康内镜外科器械有限责任公司Ethicon Endo-Surgery, LLC",国械注进20153010637,2019-11-22,2024-11-21
4,磁共振引导聚焦超声治疗系统MR Guided Focused Ultrasound,"医视特有限公司InSightec, Ltd.",国械注进20143015748,2019-11-22,2024-11-21
4,超声诊断仪Ultrasound Diagnostic Equipment,"三星麦迪逊有限公司SAMSUNG MEDISON CO.,LTD.",国械注进20192060548,2019-11-18,2024-11-17
4,超声活检针ECHOTIP® ProCore™ HD Ultrasound Biopsy Needle,库克爱尔兰有限公司Cook Ireland Limited,国械注进20152020415,2019-10-24,2024-10-23
4,超声工作站软件,通用电气威美达超声设备有限公司GE Vingmed Ultrasound AS,国械注进20152210867,2019-10-24,2024-10-23
4,血管内超声波诊断仪Intravascular Imaging and Pressure System,火山公司Volcano corporation,国械注进20193062416,2019-10-15,2024-10-14
4,"超声乳化设备用一次性眼科灌注抽吸器械I/A HANDPIECES, sterile single use",博士伦有限公司Bausch & Lomb GmbH,国械注进20192162415,2019-10-11,2024-10-10
4,三维诊断超声导管SOUNDSTAR 3D Diagnostic Ultrasound catheter,"伯恩森斯韦伯斯特股份有限公司Biosense Webster, Inc.",国械注进20193062105,2019-10-11,2024-10-10
4,彩色超声诊断系统Diagnostic Ultrasound System and Transducers,"飞利浦超声股份有限公司Philips Ultrasound, Inc.",国械注进20153061349,2019-10-09,2024-10-08
4,超声诊断系统Diagnostic Ultrasound System,"美国西门子医疗系统股份有限公司Siemens Medical Solutions USA, Inc.",国械注进20193060503,2019-09-29,2024-09-28
4,超声诊断仪Diagnostic Ultrasound System,百胜股份有限公司ESAOTE S.p.A,国械注进20193060502,2019-09-29,2024-09-28
4,超声多普勒血流分析仪Medical System for Ultrasound Diagnosis,德国科尔麦Compumedics Germany GmbH,国械注进20193072370,2019-09-12,2024-09-11
4,彩色超声诊断系统Diagnostic Ultrasound System and Transducers,"飞利浦超声股份有限公司Philips Ultrasound, Inc.",国械注进20153061350,2019-09-05,2024-09-04
4,一次性内窥镜超声吸引活检针Single Use Aspiration Needle,"Gyrus ACMI, Inc.捷锐士股份有限公司",国械注进20193220438,2019-09-03,2024-09-02
4,心腔内超声导管ACUSON AcuNav Ultrasound Catheter,"美国西门子医疗系统股份有限公司Siemens Medical Solutions USA, Inc.",国械注进20143065683,2019-09-02,2024-09-01
4,超声乳化针MICS Needle,Bausch & Lomb Inc.,国械注进20152162331,2019-08-28,2024-08-27
4,彩色超声诊断系统Ultrasound System,通用电气医疗系统超声及基础医疗诊断有限公司 GE Medical Systems Ultrasound & Primary Care Diagnostics LLC,国械注进20193060424,2019-08-26,2024-08-25
5,彩色超声诊断设备Ultrasound System,"富士胶片索诺声股份有限公司FUJIFILM SONOSITE, INC.",国械注进20143065297,2019-08-12,2024-08-11
5,超声洁牙设备歯科用多目的超音波治療器,株式会社中西,国械注进20192172315,2019-08-12,2024-08-11
5,超声骨密度仪Ultrasound Bone Densitometer,"株式会社澳思托Osteosys Co., Ltd.",国械注进20152070439,2019-08-01,2024-07-31
5,彩色超声诊断设备超音波診断装置,株式会社日立制作所,国械注进20193060393,2019-07-30,2024-07-29
5,彩色超声诊断设备,株式会社日立制作所,国械注进20193060391,2019-07-30,2024-07-29
5,肝功能剪切波量化超声诊断仪FibroScan,爱科森ECHOSENS,国械注进20193070371,2019-07-26,2024-07-25
5,眼科超声乳化治疗仪WHITESTAR SIGANTURE PRO Phacoemulsification System,Abbott Medical Optics Inc.,国械注进20193160370,2019-07-26,2024-07-25
5,超声诊断仪Diagnostic Ultrasound System,通用电气威美达超声设备有限公司GE Vingmed Ultrasound A/S,国械注进20192060366,2019-07-24,2024-07-23
5,支气管超声活检针Echotip Endobronchial High Definition Ultrasound Needle,库克爱尔兰有限公司Cook Ireland Limited,国械注进20152022593,2019-07-22,2024-07-21
5,彩色超声诊断系统Diagnostic Ultrasound System and Transducers,"飞利浦超声股份有限公司Philips Ultrasound, Inc.",国械注进20193062262,2019-07-22,2024-07-21
5,超声诊断系统”InnoSight” Diagnostic Ultrasound System(“伊諾賽”診斷用超音波系统),佳世达科技股份有限公司佳世達科技股份有限公司,国械注许20192060007,2019-07-16,2024-07-15
5,超声诊断仪Diagnostic Ultrasound System,"通用电气医疗系统超声及基础医疗诊断有限公司GE Medical Systems Ultrasound & Primary Care Diagnostics, LLC",国械注进20193060347,2019-07-05,2024-07-04
5,超声诊断系统Diagnostic Ultrasound System,"美国西门子医疗系统股份有限公司Siemens Medical Solutions USA, Inc.",国械注进20193060320,2019-06-25,2024-06-24
5,超声乳化针头套管Sleeve,Bausch & Lomb Inc.,国械注进20152161210,2019-06-24,2024-06-23
5,血管内超声系统Ultrasound Imaging System,波士顿科学公司Boston Scientific Corporation,国械注进20193062182,2019-06-21,2024-06-20
5,超声洁牙手机Ultrasonic scaler,卡瓦有限责任公司Kaltenbach & Voigt GmbH,国械注进20152142430,2019-06-21,2024-06-20
5,内窥镜超声活检针及配件Expect Endoscopic Ultrasound Aspiration Needle,波士顿科学公司Boston Scientific Corporation,国械注进20192022162,2019-06-21,2024-06-20
5,超声用电磁定位工具Electromagnetic Tracking System,"希梧科医疗器械有限公司CIVCO Medical Instruments Co.,Inc.",国械注进20192062184,2019-06-21,2024-06-20
5,血管内超声系统Ultrasound Imaging System,波士顿科学公司Boston Scientific Corporation,国械注进20193062183,2019-06-21,2024-06-20
5,内镜用超声探头内視鏡用超音波プローブ,奥林巴斯医疗株式会社オリンパスメディカルシステムズ株式会社,国械注进20153063549,2019-06-21,2024-06-20
6,超声高频外科集成系统超声刀头Harmonic Focus (Long) Shears + Adaptive Tissue Technology,"爱惜康内镜外科器械有限责任公司Ethicon Endo-Surgery, LLC",国械注进20153010638,2019-06-03,2024-06-02
6,内窥镜超声活检针及配件Expect Flexible Endoscopic Ultrasound Aspiration Needle,波士顿科学公司Boston Scientific Corporation,国械注进20192022112,2019-05-30,2024-05-29
6,数字化彩色超声波诊断装置デジタル超音波診断装置,株式会社日立制作所株式会社日立製作所,国械注进20193062092,2019-05-22,2024-05-21
6,彩色多普勒超声诊断仪Color Doppler Ultrasound Diagnostic Scanner,百科医疗有限公司BK Medical ApS,国械注进20153061933,2019-05-22,2024-05-21
6,超声诊断仪Ultrasound Diagnostic Equipment（범용초음파영상진단장치）,"三星麦迪逊有限公司SAMSUNG MEDISON CO.,LTD.（삼성메디슨(주)）",国械注进20192060275,2019-05-21,2024-05-20
6,超声诊断仪Ultrasound Diagnostic Equipment,"三星麦迪逊有限公司SAMSUNG MEDISON CO.,LTD.",国械注进20192062077,2019-05-20,2024-05-19
6,超声诊断系统Diagnostic Ultrasound System,"美国西门子医疗系统股份有限公司Siemens Medical Solutions USA, Inc.",国械注进20152060872,2019-05-13,2024-05-12
6,心腔内超声导管ViewFlex Xtra ICE Catheter,"Irvine Biomedical, Inc. a St. Jude Medical Company",国械注进20193060208,2019-05-06,2024-05-05
6,超声影像数据管理软件ViewPoint 6,通用电气医疗有限公司GE Healthcare GmbH,国械注进20192210242,2019-04-29,2024-04-28
6,超声眼科乳化治疗仪及附件Laureate World Phaco System and Accessories,"美国爱尔康公司Alcon Laboratories, Incorporated",国械注进20153160989,2019-04-28,2024-04-27
6,超声内窥镜图像处理装置,奥林巴斯医疗株式会社,国械注进20143065991,2019-04-28,2024-04-27
6,超声影像引导系统Clarity System,医科达（加拿大）有限公司Elekta Ltd.,国械注进20193052016,2019-04-28,2024-04-27
6,超声诊断设备DIAGNOSTIC ULTRASOUND SYSTEM,佳能医疗系统株式会社キヤノンメディカルシステムズ株式会社,国械注进20193062012,2019-04-28,2024-04-27
6,超声诊断设备汎用超音波画像診断装置,佳能医疗系统株式会社キヤノンメディカルシステムズ株式会社,国械注进20192062006,2019-04-28,2024-04-27
6,超声诊断设备汎用超音波画像診断装置,佳能医疗系统株式会社キヤノンメディカルシステムズ株式会社,国械注进20193062008,2019-04-28,2024-04-27
6,超声眼科乳化治疗仪及附件Vision System and Accessories,"美国爱尔康公司Alcon Laboratories, Incorporated",国械注进20153161070,2019-04-28,2024-04-27
6,超声诊断设备汎用超音波画像診断装置,佳能医疗系统株式会社キヤノンメディカルシステムズ株式会社,国械注进20193062010,2019-04-28,2024-04-27
6,超声诊断设备汎用超音波画像診断装置,佳能医疗系统株式会社キヤノンメディカルシステムズ株式会社,国械注进20193062007,2019-04-28,2024-04-27
6,超声诊断设备汎用超音波画像診断装置,佳能医疗系统株式会社キヤノンメディカルシステムズ株式会社,国械注进20193062013,2019-04-28,2024-04-27
6,冠脉超声成像导管Coronary Imaging Catheter,波士顿科学公司Boston Scientific Corporation,国械注进20193061987,2019-04-18,2024-04-17
7,超声电子胃镜超音波ガストロビデオスコープ,奥林巴斯医疗株式会社オリンパスメディカルシステムズ株式会社,国械注进20153063719,2019-04-18,2024-04-17
7,超声眼科晶状体摘除和玻璃体切除设备及附件Constellation Vision System and Accessories,"美国爱尔康公司Alcon Laboratories, Incorporated",国械注进20153161071,2019-04-18,2024-04-17
7,超声眼科乳化治疗仪及附件Vision System,"美国爱尔康公司Alcon Laboratories, Incorporated",国械注进20153161069,2019-04-15,2024-04-14
7,超声洁牙设备歯科用多目的超音波治療器,株式会社中西株式会社ナカニシ,国械注进20192171966,2019-04-11,2024-04-10
7,超声探头Ultrasound Transducer,百科医疗有限公司B-K Medical ApS,国械注进20193061939,2019-04-04,2024-04-03
7,彩色超声诊断系统Diagnostic Ultrasound System and Transducers,"飞利浦超声股份有限公司Philips Ultrasound, Inc.",国械注进20193061919,2019-03-29,2024-03-28
7,彩色超声诊断系统Diagnostic Ultrasound System and Transducers,"飞利浦超声股份有限公司Philips Ultrasound, Inc.",国械注进20193061914,2019-03-29,2024-03-28
7,超声高频外科集成系统超声刀头Harmonic HD 1000i Ultrasonic Surgical Devices,"Ethicon Endo-Surgery, LLC",国械注进20193010160,2019-03-29,2024-03-28
7,便携式超声诊断仪ポケットエコー miruco,日本希格玛株式会社日本シグマックス株式会社,国械注进20192060150,2019-03-26,2024-03-25
7,一次性使用超声外科吸引系统附件Cusa Excel Ultrasonic Surgical Aspirator System-Tip & CEM Nosecone,Integra LifeSciences (Ireland) Ltd,国械注进20193010129,2019-03-25,2024-03-24
7,超声外科吸引系统附件Cusa Excel Ultrasonic Surgical Aspirator System-Tip,Integra LifeSciences (Ireland) Ltd,国械注进20193010122,2019-03-25,2024-03-24
7,超声诊断产品Ultrasonic Diagnostic Equipment,百胜股份有限公司ESAOTE S.p.A.,国械注进20192060105,2019-03-15,2024-03-14
7,高分辨超声活检针ECHOTIP Ultra High Definition Ultrasound Access Needle,库克爱尔兰有限公司Cook Ireland Limited,国械注进20152021702,2019-03-13,2024-03-12
7,一次性使用超声清石探针Ultrasound Probe,OMNIA SPA,国械注进20193010099,2019-03-12,2024-03-11
7,超声诊断系统Diagnostic Ultrasound System,"美国西门子医疗系统股份有限公司Siemens Medical Solutions USA, Inc.",国械注进20193061741,2019-03-01,2024-02-29
7,超声骨刀雅堤士牙科用超音波骨刀機及其附件,庆暐医疗器材科技股份有限公司慶暐醫療器材科技股份有限公司,国械注许20193010055,2019-03-01,2024-02-29
7,超声骨密度仪UItrasound Bone Densitometer,"株式会社澳思托Osteosys Co.,Ltd.",国械注进20192071743,2019-03-01,2024-02-29
7,彩色超声诊断仪汎用超音波画像診断装置,株式会社日立制作所株式会社日立製作所,国械注进20193061699,2019-02-15,2024-02-14
7,肌电反馈、超声及电疗治疗仪Myography，ultrasonic and electrotherapy equipment,Enraf-Nonius B.V.,国械注进20192071663,2019-02-01,2024-01-31
7,超声活检针EchoTip Ultra Endoscopic Ultrasound Needle,库克爱尔兰有限公司Cook Ireland Limited,国械注进20152020414,2019-01-30,2024-01-29
8,彩色超声诊断设备汎用超音波画像診断装置,株式会社日立制作所株式会社日立製作所,国械注进20193060035,2019-01-30,2024-01-29
8,彩色超声诊断设备汎用超音波画像診断装置,株式会社日立制作所株式会社日立製作所,国械注进20193060034,2019-01-30,2024-01-29
8,彩色超声诊断系统 Ultrasound Scanner,安络杰集团公司Analogic Corporation,国械注进20193060033,2019-01-30,2024-01-29
8,彩色超声诊断仪Diagnostic Ultrasound System,"韩国通用电气超声有限公司GE Ultrasound Korea, Ltd.",国械注进20193061626,2019-01-29,2024-01-28
8,双极高频超声双输出手术系统サージカル ティシュー マネージメント システム,奥林巴斯医疗株式会社,国械注进20153010952,2019-01-29,2024-01-28
8,血管内超声诊断导管Digital IVUS Catheter,Volcano corporation,国械注进20193061627,2019-01-29,2024-01-28
8,血管内超声诊断导管Intravascular Ultrasound Imaging Catheter,Volcano corporation,国械注进20193061625,2019-01-29,2024-01-28
8,超声图像诊断仪Diagnostic ultrasound imaging system,SUPERSONIC IMAGINE,国械注进20193060025,2019-01-17,2024-01-16
8,眼科超声乳化治疗仪COMPACT INTUITIV System,Abbott Medical Optics Inc.,国械注进20193160026,2019-01-17,2024-01-16
8,超声诊断系统Diagnostic Ultrasound System,"美国西门子医疗系统股份有限公司Siemens Medical Solutions USA, Inc.",国械注进20192060016,2019-01-14,2024-01-13
8,超声诊断系统Diagnostic Ultrasound System,"美国西门子医疗系统股份有限公司Siemens Medical Solutions USA, Inc.",国械注进20192060012,2019-01-14,2024-01-13
8,彩色超声诊断仪Diagnostic Ultrasound System and Transducers,"Philips Ultrasound, Inc.",国械注进20192060014,2019-01-14,2024-01-13
8,超声电子支气管内窥镜超音波気管支ファイバービデオスコープ,奥林巴斯医疗株式会社オリンパスメディカルシステムズ株式会社,国械注进20153061606,2018-12-26,2023-12-25
8,超声活检针EBUS Needle Systems,德国环球医疗有限责任公司Medi-Globe GmbH,国械注进20142025583,2018-11-30,2023-11-29
8,超声波数据分析系统,株式会社日立制作所株式会社日立製作所,国械注进20182210402,2018-10-17,2023-10-16
8,超声诊断设备,东芝医疗系统株式会社東芝メディカルシステムズ株式会社,国械注进20183060380,2018-10-12,2023-10-11
8,超声诊断设备,东芝医疗系统株式会社東芝メディカルシステムズ株式会社,国械注进20183060381,2018-10-12,2023-10-11
8,便携式彩色超声诊断系统Ultrasound System,"FUJIFILM SonoSite, Inc.",国械注进20182060347,2018-09-21,2023-09-20
8,手持式穿刺定位用超声设备Accuro,"Rivanna Medical, LLC",国械注进20182060364,2018-09-21,2023-09-20
8,超声眼科乳化治疗仪,Carl Zeiss Meditec AG,国械注进20183162338,2018-09-05,2023-09-04
9,超声诊断仪Diagnostic Ultrasound System,奥地利通用电气医疗两合公司GE Healthcare Austria GmbH & Co OG,国械注进20152061495,2018-08-20,2023-08-19
9,彩色超声诊断仪汎用超音波画像診断装置,株式会社日立制作所株式会社日立製作所,国械注进20183062269,2018-08-20,2023-08-19
9,超声洁牙机Dental Scaler,E.M.S. Electro Medical Systems S.A.,国械注进20182032275,2018-08-20,2023-08-19
9,便携式彩色超声诊断仪Ultrasound System,"FUJIFILM SonoSite, Inc.",国械注进20183062278,2018-08-20,2023-08-19
9,超声电子上消化道内窥镜,HOYA株式会社,国械注进20183062277,2018-08-20,2023-08-19
