腔镜直线型切割吻合器 ENDOPATH Endoscopic Linear Cutters,"Ethicon Endo-Surgery, LLC",国械注进20163222350,2016-06-29,2021-06-28
腔镜下一次性切割吻合器弧形钉仓 Endo GIA Auto Suture Radial Reload with Tri-Staple Technology,Covidien llc,国械注进20153461467,2015-05-06,2020-05-05
旋转头切割吻合器 GIA Autosuture Universal Stapler,Covidien llc,国械注进20153661156,2015-04-03,2020-04-02
一次性切割吻合器及钉匣 GIA Autosuture/SGIA Autosuture Stapler and Loading Unit with DST Series Technology,Covidien llc,国械注进20152651000,2015-03-19,2020-03-18
切割吻合器及钉匣 Reliamax Gastrointestinal Anastomosis and Reload,Covidien llc,国械注进20153460646,2015-02-13,2020-02-12
内镜用切割吻合器及一次性钉匣 Multifire Endo GIA Autosuture Single use stapler & single use Loading unit,Covidien llc,国械注进20153460398,2015-01-30,2020-01-29
关节头直线形吻合器PROXIMATE ACCESS Articulating Linear Stapler,"Ethicon Endo - Surgery, LLC",国械注进20152540242,2015-01-23,2020-01-22
直线形切割吻合器和可调节钉仓 Linear Cutter 55/75mm and Selectable Cartridge/reloads,"Ethicon Endo - Surgery, LLC",国械注进20153650243,2015-01-23,2020-01-22
内窥镜弯型腔内吻合器ILS Endoscopic Curved Intraluminal Stapler,"Ethicon Endo - Surgery, LLC",国械注进20152650241,2015-01-23,2020-01-22
端端吻合器 Premium Plus CEEA Autosuture Circular Stapler,Covidien llc,国械注进20152080237,2015-01-23,2020-01-22
腔镜直线型切割吻合器钉仓echelon 60 ENDOPATH STAPLER Endoscopic Linear Cutter Reloads,"Ethicon Endo-Surgery, LLC",国械注进20153080094,2015-01-16,2020-01-15
旋转头闭合吻合器 Roticulator Autosuture Articulating Stapler,Covidien llc,国械注进20153080047,2015-01-14,2020-01-13
内镜用切割吻合器及一次性钉匣 Endo GIA Autosuture Universal Stapler and Loading Unit,Covidien llc,国械注进20153650083,2015-01-14,2020-01-13
闭合吻合器及一次性钉匣 TA Autosuture Stapler & loading Unit with DST Series Technology,Covidien llc,国械注进20153650046,2015-01-14,2020-01-13
腔镜下切割吻合器及一次性钉匣 Endo GIA Ultra Universal Stapler and Reload with Tri-Staple Technology,Covidien llc,国械注进20153660082,2015-01-14,2020-01-13
端端吻合器 EEA Autosuture Circular Stapler and EEA OrVIL Autosuture Transoral Circular Stapler Anvil,Covidien llc,国械注进20142656031,2014-12-16,2019-12-15
电动式切割吻合器,Covidien llc,国械注进20143545528,2014-11-28,2019-11-27
痔吻合器及附件 EEA Hemorrhoid and Prolapse Stapler Set with DST Series Technology,Covidien llc,国食药监械(进)字2014第2094751号,2014-09-30,2019-09-29
腔镜直线型切割吻合器（商品名：ECHELON 60） Echelon 60 ENDOPATH Endoscopic Linear Cutters,"Ethicon Endo - Surgery, LLC",国食药监械(进)字2014第3222458号,2014-05-20,2018-05-19
腔镜下一次性切割吻合器弧形钉仓 Endo GIA Auto Suture Radial Reload with Tri-Staple Technology,Covidien llc,国食药监械(进)字2014第3461408号,2014-03-18,2018-03-17
腔镜关节头直线型切割吻合器和钉仓（商品名：ECHELON FLEX） ECHELON FLEX Articulating Endoscopic Linear Cutters and Reloads,"Ethicon Endo - Surgery, LLC",国食药监械(进)字2014第3650887号,2014-01-28,2018-01-27
一次性使用圆形吻合器,"Ethicon Endo - Surgery, LLC",国食药监械(进)字2013第2655572号,2013-12-27,2017-12-26
端端吻合器导引器,Covidien llc,国食药监械(进)字2013第2225096号(更),2013-11-21,2017-11-20
端端吻合器导引器,Covidien llc,国食药监械(进)字2013第2225096号,2013-11-21,2017-11-20
弧形切割吻合器和钉仓(商品名：CONTOUR),"Ethicon Endo - Surgery, LLC",国食药监械(进)字2013第3654650号,2013-10-31,2017-10-30
直线型吻合器和钉仓(商品名：PROXIMATE),"Ethicon Endo - Surgery, LLC",国食药监械(进)字2013第3654649号,2013-10-31,2017-10-30
腔镜直线型切割吻合器(商品名: ENDOPATH),强生(上海)医疗器材有限公司,国食药监械(进)字2013第3223156号,2013-08-12,2017-08-11
电动腔镜关节头直线型切割吻合器(商品名:Powered Echelon Flex),"Ethicon Endo-Surgery, LLC",国食药监械(进)字2013第3222977号,2013-08-01,2017-07-31
腔镜关节头直线型切割吻合器和钉仓(商品名：ECHELON FLEX),"Ethicon Endo - Surgery, LLC",国食药监械(进)字2013第3651722号,2013-04-25,2017-04-24
腔镜直线型切割吻合器和钉仓(商品名：ECHELON 45),"Ethicon Endo-Surgery, LLC",国食药监械(进)字2013第3651107号,2013-03-15,2017-03-14
可重复使用直线型切割吻合器和一次性钉仓(商品名：安得 (ValuTrus)),"Ethicon Endo-Surgery, LLC",国食药监械(进)字2013第3650561号,2013-02-06,2017-02-05
闭合吻合器及一次性钉匣,Covidien llc,国食药监械(进)字2012第3653653号,2012-10-15,2016-10-14
切割吻合器及一次性钉匣,Covidien llc,国食药监械(进)字2012第3653654号(更),2012-10-15,2016-10-14
闭合吻合器及一次性钉匣,Covidien llc,国食药监械(进)字2012第3653653号(更),2012-10-15,2016-10-14
切割吻合器及一次性钉匣,Covidien llc,国食药监械(进)字2012第3653654号,2012-10-15,2016-10-14
切割吻合器及一次性钉匣,Covidien llc,国食药监械(进)字2012第2652012号(更),2012-06-06,2016-06-05
切割吻合器及一次性钉匣,Covidien llc,国食药监械(进)字2012第2652012号,2012-06-06,2016-06-05
内窥镜用吻合器,ConMed CORPORATION,国食药监械(进)字2012第3222015号,2012-06-06,2016-06-05
可重复使用圆形吻合器和一次性使用钉仓(商品名：安得 (ValuTrus)),"Ethicon Endo - Surgery, LLC",国食药监械(进)字2012第2081482号,2012-04-23,2016-04-22
腔镜直线型切割吻合器和钉仓(商品名：ENDOPATH),"Ethicon Endo - Surgery, LLC",国食药监械(进)字2012第3221228号,2012-03-31,2016-03-30
腹壁吻合器(商品名：Mediflex),"Mediflex,a division of Flexbar Machine Corporation",国食药监械(进)字2012第2080951号,2012-03-29,2016-03-28
吻合器,Covidien llc,国食药监械(进)字2012第3220550号(更),2012-03-12,2016-03-11
吻合器,Covidien llc,国食药监械(进)字2012第3220550号,2012-03-12,2016-03-11
可重复使用圆形痔吻合器及钉仓和附件套装(商品名：安得(ValuTrus)),"Ethicon Endo - Surgery, LLC",国食药监械(进)字2012第2090610号,2012-03-12,2016-03-11
腔镜下切割吻合器及一次性钉匣,Covidien llc,国食药监械(进)字2012第3660439号,2012-02-27,2016-02-26
可重复使用直线型吻合器和钉仓(商品名：安得(ValuTrus)),"Ethicon Endo - Surgery, LLC",国食药监械(进)字2012第2650071号,2012-01-16,2016-01-15
弯型和直型腔内吻合器(商品名：ILS),"Ethicon Endo - Surgery, LLC",国食药监械(进)字2011第2653765号,2011-11-27,2015-11-26
旋转头闭合吻合器,Covidien llc,国食药监械(进)字2011第3083495号,2011-11-10,2015-11-09
旋转头闭合吻合器,Covidien llc,国食药监械(进)字2011第3083495号(更),2011-11-10,2015-11-09
圆形痔吻合器(商品名：PROXIMATE),"Ethicon Endo-Surgery,LLC",国食药监械(进)字2011第2093498号,2011-11-10,2015-11-09
端端吻合器一次性钉匣,Covidien llc,国食药监械(进)字2011第2083373号(更),2011-10-25,2015-10-24
端端吻合器一次性钉匣,Covidien llc,国食药监械(进)字2011第2083373号,2011-10-25,2015-10-24
直线形切割吻合器和钉仓(商品名：PROXIMATE),"Ethicon Endo-Surgery, LLC",国食药监械(进)字2011第3543246号,2011-10-14,2015-10-13
闭合吻合器及一次性钉匣,Covidien llc,国食药监械(进)字2011第3653029号,2011-09-30,2015-09-29
闭合吻合器及一次性钉匣,Covidien llc,国食药监械(进)字2011第3653029号(更),2011-09-30,2015-09-29
内镜用切割吻合器及一次性钉匣,Covidien llc,国食药监械(进)字2011第3462994号,2011-09-28,2015-09-27
端端吻合器,Covidien llc,国食药监械(进)字2011第2083016号(更),2011-09-28,2015-09-27
一次性切割吻合器及钉匣,Covidien llc,国食药监械(进)字2011第2652990号,2011-09-28,2015-09-27
内镜用切割吻合器及一次性钉匣,Covidien llc,国食药监械(进)字2011第3462994号(更),2011-09-28,2015-09-27
腹腔镜用圆形吻合器(商品名：ENDOPATH ILS),"Ethicon Endo-Surgery, LLC.",国食药监械(进)字2011第2223014号,2011-09-28,2015-09-27
一次性切割吻合器及钉匣,Covidien llc,国食药监械(进)字2011第2652990号(更),2011-09-28,2015-09-27
端端吻合器,Covidien llc,国食药监械(进)字2011第2083016号,2011-09-28,2015-09-27
关节头直线形吻合器(商品名：PROXIMATE ACCESS),Ethicon Endo-Surgery，LLC,国食药监械(进)字2011第2542862号,2011-09-13,2015-09-12
旋转头切割吻合器,Covidien llc,国食药监械(进)字2011第3662859号(更),2011-09-13,2015-09-12
内窥镜弯型腔内吻合器(商品名：ILS),"Ethicon Endo - Surgery, LLC",国食药监械(进)字2011第2652895号,2011-09-13,2015-09-12
连发型吻合器(商品名：ENDOPATH EMS),Ethicon Endo-Surgery，LLC,国食药监械(进)字2011第2542858号,2011-09-13,2015-09-12
旋转头切割吻合器,Covidien llc,国食药监械(进)字2011第3662859号,2011-09-13,2015-09-12
直线形切割吻合器和可调节钉仓,"Ethicon Endo - Surgery, LLC",国食药监械(进)字2011第3652799号,2011-09-07,2015-09-06
弧形切割吻合器(商品名：CONTOUR TRANSTAR),"Ethicon Endo - Surgery, LLC",国食药监械(进)字2011第2652713号,2011-08-22,2015-08-21
内镜用切割吻合器及一次性钉匣,Covidien llc,国食药监械(进)字2011第3652581号,2011-08-09,2015-08-08
痔吻合器及附件,Covidien llc,国食药监械(进)字2011第2092360号,2011-07-20,2015-07-19
端端吻合器,Covidien llc,国食药监械(进)字2011第2652084号,2011-06-27,2015-06-26
弯型和直型管腔吻合器(商品名：PROXIMATE ILS),"Ethicon Endo-Surgery, LLC",国食药监械(进)字2011第2541631号,2011-05-11,2015-05-10
腔镜关节头直线型切割吻合器(商品名：ECHELON FLEX),Ethicon Endo-Surgery，LLC,国食药监械(进)字2011第3651308号,2011-04-12,2015-04-11
切割吻合器组织加强型钉匣,Covidien llc,国食药监械(进)字2011第3650366号(更),2011-01-30,2015-01-30
腔镜直线型切割吻合器(商品名：ENDOPATH(r)),"Ethicon Endo-Surgery, LLC",国食药监械(进)字2011第3220385号,2011-01-30,2015-01-29
腔镜直线型切割吻合器和钉仓,Ethicon Endo-Surgery，LLC,国食药监械(进)字2011第3220273号,2011-01-26,2015-01-25
一次性使用圆形吻合器,"Ethicon Endo-Surgery, LLC",国食药监械(进)字2010第2651621号,2010-06-07,2014-06-06
弧形切割吻合器和钉仓(商品名：CONTOUR),"Ethicon Endo-Surgery, LLC",国食药监械(进)字2010第3651062号,2010-05-04,2014-05-03
直线型吻合器和钉仓(商品名：PROXIMATE),"Ethicon Endo-Surgery, LLC",国食药监械(进)字2010第3650568号,2010-03-10,2014-03-09
腔镜直线切割吻合器和钉仓(商品名：ECHELON 45),"Ethicon Endo-Surgery, LLC",国食药监械(进)字2009第3651686号,2009-07-28,2013-07-27
切割吻合器及一次性钉匣(商品名：GIA PREMIUM),"United States Surgical, a division of Tyco Healthcare Group LP",国食药监械(进)字2009第3651632号,2009-07-27,2013-07-26
腔镜直线形切割吻合器和钉仓(商品名：Echelon 45),"ETHICON ENDO-SURGERY, LLC",国食药监械(进)字2009第3650910号,2009-04-08,2013-04-07
切割吻合器及一次性钉匣,"United States Surgical, a division of Tyco Healthcare Group LP",国食药监械(进)字2009第3650522号,2009-03-13,2013-03-12
直线型切割吻合器和钉仓(商品名：ValuTrus),"ETHICON ENDO-SURGERY, LLC",国食药监械(进)字2009第3650146号(更),2009-01-22,2013-01-22
端端吻合器及一次性钉匣(商品名：Autosuture EEA),"United States Surgical, a division of Tyco Healthcare Group LP",国食药监械(进)字2008第3082162号,2008-07-22,2012-07-21
端端吻合器,"United States Surgical, a division of Tyco Healthcare Group LP",国食药监械(进)字2008第2081312号,2008-05-26,2012-05-25
端端吻合器(商品名：Auto Suture DST EEA),"United States Surgical, a division of Tyco Healthcare Group LP",国食药监械(进)字2008第2651339号,2008-05-21,2012-05-20
直线形切割吻合器和钉仓(商品名：PROXIMATE),"ETHICON ENDO-SURGERY, LLC",国食药监械(进)字2008第3541110号,2008-05-05,2012-05-04
腔镜直线型切割吻合器和钉仓(商品名：ENDOPATH),"Ethicon Endo-Surgery, LLC",国食药监械(进)字2008第3010535号,2008-03-22,2012-03-21
圆形痔吻合器,"ETHICON ENDO-SURGERY, LLC",国食药监械(进)字2008第2090533号,2008-03-22,2012-03-21
腹腔镜用圆形吻合器(商品名：ENDOPATH ILS),"Ethicon Endo-Surgery, LLC.",国食药监械(进)字2007第2221949号(更),2007-12-06,2011-12-06
关节头直线形吻合器(商品名：Proximate Access),"Ethicon Endo-Surgery, LLC.",国食药监械(进)字2007第2541950号(更),2007-12-06,2011-12-06
连发型吻合器(商品名：ENDOPATH EMS),"Ethicon Endo-Surgery, LLC.",国食药监械(进)字2007第2541384号(更),2007-08-06,2011-08-06
弯型和直型管腔吻合器(商品名：PROXIMATE ILS),"Ethicon Endo-Surgery, LLC.",国食药监械(进)字2007第2541385号(更),2007-08-06,2011-08-06
直线形切割吻合器(商品名：PROXIMATE),"Ethicon Endo-Surgery,LLC.",国食药监械(进)字2007第2541386号(更),2007-08-06,2011-08-06
腔镜直线型切割吻合器和钉仓(商品名：ECHELON 60 ),Ethicon Endo-Surgery，LLC,国食药监械(进)字2007第3220045号(更),2007-01-23,2011-01-23
端端吻合器(EEA*),"United States Surgical,a division of Tyco Healthcare Group,LP",国食药监械(进)字2006第2651195号,2006-07-17,2010-07-16
CEEA 端端吻合器,"United States Surgical,a division of Tyco Healthcare Group,LP",国食药监械(进)字2006第3651025号,2006-06-08,2010-06-07
腔镜直线型切割吻合器和钉仓,"Ethicon Endo-Surgery, LLC.",国食药监械(进)字2006第3010265号(更),2006-02-13,2010-02-13
CONTOUR弧形切割吻合器和钉仓,"Ethicon Endo-Surgery,LLC.",国食药监械(进)字2005第3082715号(更),2005-09-20,2009-09-20
PROXIMATE直线型吻合器和钉仓,"Ethicon Endo-Surgery, LLC.",国食药监械(进)字2005第3652118号(更),2005-08-10,2009-08-10
端端吻合器及一次性钉匣,"United States Surgical, a division of Tyco Healthcare Group LP",国食药监械(进)字2005第3080373号,2005-02-25,2009-02-24
端端吻合器,"United States Surgical, a division of Tyco Healthcare Group L.P.",国食药监械(进)字2004第2651521号,2004-08-19,2008-08-18
内窥镜用吻合器,ConMed Corporation,国食药监械(进)字2004第2010342号,2004-03-15,2008-03-14
圆形痔吻合器,"Ethicon Endo-Surgery, Inc.",国食药监械(进)字2004第3080248号,2004-03-03,2008-03-02
Proximate ILS 弯型和直型管腔吻合器,"Ethicon Endo-Surgery, Inc.",国食药监械(进)字2003第3540626号,2003-10-31,2007-10-30
ENDOPATH EMS 连发型吻合器,"Ethicon Endo-Surgery, Inc.",国食药监械(进)字2003第3540506号,2003-10-15,2007-10-14
Proximate Access 关节头直线形吻合器,"Ethicon Endo-Surgery, Inc.",国食药监械(进)字2003第3540492号,2003-10-13,2007-10-12
ENDOPATH 腹腔镜用圆形吻合器,"Ethicon Endo-Surgery, Inc.",国食药监械(进)字2003第3220482号,2003-10-13,2007-10-12
配液穿刺器Withdrawal and injection spikes for multidose vials,贝朗梅尔松根股份有限公司B. Braun Melsungen AG,国械注进20162142639,2021-04-16,2026-04-15
动静脉穿刺器Fistula Needle for Hemodialysis,费森尤斯医药用品股份及两合公司Fresenius Medical Care AG & Co. KGaA,国械注进20163101629,2021-03-15,2026-03-14
一次性使用无刃穿刺器Versaport Bladeless and Versaport Plus Bladeless Trocar,柯惠有限责任公司Covidien llc,国械注进20162021663,2021-03-04,2026-03-03
腹腔镜用穿刺器及配件Trocar Systems,德国宝雅医疗科技有限公司PAJUNK GmbH Medizintechnologie,国械注进20162021077,2021-02-20,2026-02-19
一次性使用钝头穿刺器VersaOne Blunt Trocar,柯惠有限责任公司Covidien llc,国械注进20212020028,2021-01-27,2026-01-26
一次性使用有刃穿刺器VersaOne Bladed Trocar,Covidien llc柯惠有限责任公司,国械注进20212020024,2021-01-27,2026-01-26
一次性使用穿刺器VersaOne Optical Trocar,柯惠有限责任公司Covidien llc,国械注进20212020026,2021-01-27,2026-01-26
一次性使用无刃穿刺器VersaOne Bladeless Trocar,柯惠有限责任公司Covidien llc,国械注进20212020025,2021-01-27,2026-01-26
一次性使用穿刺器套管VersaOne Universal Cannula,柯惠有限责任公司Covidien llc,国械注进20212020027,2021-01-27,2026-01-26
穿刺器AnchorPort® Trocar System,康美公司ConMed Corporation,国械注进20152020801,2020-11-27,2025-11-26
穿刺器BASX Bladeless Trocars,"爱惜康内镜外科器械有限责任公司Ethicon Endo-Surgery, LLC",国械注进20152023187,2020-08-11,2025-08-10
穿刺器ENDOPATH XCEL Trocars,"爱惜康内镜外科器械有限责任公司Ethicon Endo-Surgery, LLC",国械注进20152023388,2020-08-11,2025-08-10
球囊穿刺器与充气球囊Structural Balloon Trocar and Inflation Bulb,柯惠有限责任公司Covidien llc,国械注进20152023828,2020-08-11,2025-08-10
穿刺器Trocar,柯惠有限责任公司Covidien llc,国械注进20162021607,2020-07-30,2025-07-29
穿刺器Thoracoport Autosuture Trocar,柯惠有限责任公司Covidien llc,国械注进20152023788,2020-07-06,2025-07-05
穿刺器及其附件SurgiQuest AirSeal Optical Trocar & Cannula System,康美公司ConMed Corporation,国械注进20142026073,2019-11-18,2024-11-17
穿刺器Trocar Systems,德国艾克松有限公司XION GmbH,国械注进20192022418,2019-10-16,2024-10-15
"腹腔镜用穿刺器、套管和穿刺内芯Laparoscopic Port, Cannula and Obturator",美国泰利福医疗有限公司Teleflex Medical,国械注进20152021466,2019-10-09,2024-10-08
外科穿刺器ENDOPATH Surgical Thoracic Trocar Sleeve with Rounded Tip Obturator,爱惜康内镜外科器械有限责任公司Ethicon Endo-Surgery，LLC,国械注进20152022106,2019-09-20,2024-09-19
一次性使用穿刺器械Single Use Puncture instrument,"艾镁帝卡有限公司IMEDICOM Co.,Ltd.",国械注进20162140071,2019-04-04,2024-04-03
内窥镜手术用穿刺器及附件Trocars,奥林巴斯苇音特和意北公司Olympus Winter & Ibe GmbH,国械注进20152021526,2019-03-11,2024-03-10
一次性使用无刃穿刺器VERSAPORT/VERSAPORT PLUS SINGLE USE BLADELESS Trocar,Covidien llc,国械注进20182012061,2018-05-30,2023-05-29
多通道单孔腹腔镜手术穿刺器,常广股份有限公司/常廣股份有限公司,国械注许20182660002,2018-01-08,2023-01-07
胸部穿刺器FLEXIPATH Flexible Surgical Trocar,"Ethicon Endo-Surgery, LLC",国械注进20173546540,2017-08-24,2022-08-23
腹腔镜用穿刺器Trocars for laparoscope use,Richard Wolf GmbH,国械注进20172226005,2017-07-03,2022-07-02
穿刺器/大吉士穿刺套管,常广股份有限公司/常廣股份有限公司,国械注许20172150213,2017-06-26,2022-06-25
穿刺器ENDOPATH XCEL with OPTIVIEW Technology Trocars,"Ethicon Endo-Surgery, LLC",国械注进20172152058,2017-06-26,2022-06-25
腹腔镜用穿刺器Genicon Trocar/Cannula System,GENICON,国械注进20172151572,2017-06-06,2022-06-05
腔镜下多器械通路单孔穿刺器SILS Port,Covidien llc,国械注进20172221289,2017-04-28,2022-04-27
腹腔镜用穿刺器Trocars for laparoscope use,GENICON,国械注进20172155110,2017-03-27,2022-03-26
经颈静脉肝内穿刺器械Transjugular Liver Access Set,Cook Incorporated,国械注进20173150688,2017-03-13,2022-03-12
一次性穿刺器“UNIMAX” Surgical Trocar,普威国际有限公司Unimax Medical System Inc.,国械注许20172150017,2017-02-15,2022-02-14
微创穿刺器E•Z balloon,"株式会社 八光HAKKO MEDICAL CO.,LTD (株式会社 八光)",国械注进20173660356,2017-02-13,2022-02-12
穿刺器 Trocars,Aesculap AG,国械注进20163154674,2016-11-02,2021-11-01
配液穿刺器,贝朗医疗(上海国际贸易有限公司,国械注进20163152639,2016-08-22,2021-08-21
穿刺器及配件 Trocars and accessories,Aesculap AG,国械注进20162222397,2016-07-11,2021-07-10
一次性无刃穿刺器 Versaport Bladeless Low Profile Trocar with Fixation Cannula,Covidien llc,国械注进20162012240,2016-06-27,2021-06-26
